,Text,Stance,Class,Target
23,"I'm confused. Why would you want it to occur more frequently?????? People don't really choose to abort a child, they resort to it.
",1,0,Abortion
24,"Never talk in caps, if you really need to, go back to Elementary School.  [YOU DON'T SEE NOTHING WRONG WITH KILLING AN INNOCENT LIFE?????]  Don't scratch yourself then. It kills the lives of innocent skin cells. A fetus is also just cells. It is also not human yet.  [WHAT IF YOUR PARENTS DID THAT TO YOU???]  He wouldn't be here. But he also wouldn't have lost anything, because nothing he had ever done has happened.
",1,0,Abortion
25,"it is also the mother's choice. the child doesnt have no say. as i said they shouldnt be having any sexual activity. i am 11 and i know this....
",1,0,Abortion
26,"Ive had over 10 abortions! Mwaaa ha ha ha ha ha  You are retarded, I just want to throw that in.
",1,0,Abortion
27,"The father's decision or the mother's decision? What does it have to do with the fact that it should be banned or not? This is a NON-ARGUMENT.
",1,0,Abortion
28,"No answer to my retort, just a down vote. That helps alot!?
",1,0,Abortion
29,"Don't worry, I wasn't disputing... I was just helpfully clarifying. ;)
",1,0,Abortion
30,"Abortion is not killing a human child. When you have your abortion, the fetus has probably not even opened its eyes yet. It isn't a formed child! It is a FETUS. Is it a mistake of the girl if her drink was roofied at a party and she was raped because of it? Only if she dropped the pill into the drink.
",1,0,Abortion
31,"all i can say abortion are depend on a situation............ !!!!!!!!!!!!!&gt;&gt;&gt;&gt;&gt;&gt;&g t;&gt;&gt;
",1,0,Abortion
32,"Okay...  --------------------------------------- -------------------------
",1,0,Abortion
33,"... So I can find a pregnant dog and stab it in the vagina?
",1,0,Abortion
34,"Not even close?  It may not be a human  person,  but as far as DNA is concerned, it is 100 percent a human  fetus.   I think the question then is what makes a thing a person, and whether or not a fetus is that.
",1,0,Abortion
35,"Yes, all innocent life.   So -- vegetarian, then?  ....................................... ..................
",1,0,Abortion
36,"You view it as an unborn baby, I view it as a cluster of cells with the potential of becoming a baby.  You can't change my opinion and I can't change yours. That is why we vote on it.  This is the end of the story. I'm sorry, but that's all there is, there isn't any more.
",1,0,Abortion
37,"My penis has all the DNA in it to make a life. It is a very complex organ. It can feel pain and often has a mind of its own. It reacts to sounds and temperatures as well as the sight of something it likes. It will be heartbreaking for me to lose it, so it's a difficult choice for me. But if I want to get rid of it, it should be my choice and not anybody else's choice!
",1,0,Abortion
38,"Not if you get raped, no.  ....................................... ......
",1,0,Abortion
39,"That's a really fuzzy line! Look  at this picture  of an embryo. It's just a spec but I can already see the eyes and a heart!  You know how laws work...it must be spelled out. 45 days? Is that fair?
",1,0,Abortion
40,"In a little less than a month, but don't tell anyone. So what are you going to get me for my birthday? Hopefully not a TV ;)
",-1,0,Abortion
41,"Yeah, that makes sense. Let's kill the kid for a crime they didn't commit. Thanks for clearing that up for me.   But please tell me why you think death is preferable to life?
",-1,0,Abortion
42,"And is abortion for social reasons ok? I think you ran from answering this one. You said they are wrong....  WHEN?
",-1,0,Abortion
43,"NO. Of course I do not agree with abortion. It is murder, and there is no way around it. Did you know there is a law that you go to jail if you hurt a lady that makes her loose her baby, but not to kill it on purpose in abortion. Now does that make sense?
",-1,0,Abortion
44,"Yes it should be banned. People shouldn't be having sex if they don't wanna a baby. Or it should be protected. Killing babies is a crime.
",-1,0,Abortion
45,"Yes, I do. that's the problem. Why not strive for the ideal instead of settle for something less.
",-1,0,Abortion
46,"Yes, abortion should be banned. What about adoption? They need to stand up for the mistake they made and have the baby, and if it is unwanted, put it up for adoption. Just don't kill it. I understand that the baby really isn't a baby yet but if a baby isn't wanted, then the person needs to have safe sex. It isn't the baby's fault.
",-1,0,Abortion
47,"What about the child who has no say? When do we start holding people accountable for their actions?
",-1,0,Abortion
48,"It was just a hunch   Was it  only  a hunch?   No I expect you to all of the sudden stop being condescending to people.   Well, that doesn't answer the question.   Cause I only care so much you know.   Well if you don't care a lot, then why would you attempt to defend his view, or him, at all?
",-1,0,Abortion
49,"Month one  Mommy  I am only 8 inches long  but I have all my organs.  I love the sound of your voice.  Every time I hear it  I wave my arms and legs.  The sound of your heart beat  is my favorite lullaby.  Month Two  Mommy  today I learned how to suck my thumb.  If you could see me  you could definitely tell that I am a baby.  I'm not big enough to survive outside my home though.  It is so nice and warm in here.  Month Three  You know what Mommy  I'm a boy / girl!  I hope that makes you happy.  I always want you to be happy.  I don't like it when you cry.  You sound so sad.  It makes me sad too  and I cry with you even though  you can't hear me.  Month Four  Mommy  my hair is starting to grow.  It is very short and fine, but i will have a lot of it  I spend a lot of my time exercising.  I can turn my head and curl my fingers and toes  and stretch my arms and legs.  I am becoming quite good at it too.  Month Five  You went to the doctor today.  Mommy, he lied to you.  He said that I'm not a baby.  I am a baby Mommy, your baby.  I think and feel.  Mommy, what's abortion?  Month Six  I can hear that doctor again.  I don't like him.  He seems cold and heartless.  Something is intruding my home.  The doctor called it a needle.  Mommy what is it? It burns!  Please make him stop!  I can't get away from it!  Mommy! HELP me!  Month Seven  Mommy  I am okay.  I am in Death's arms.  He is holding me.  He told me about abortion.  Why didn't you want me Mommy?  Every Abortion Is Just . . .  One more heart that was stopped.  Two more eyes that will never see.  Two more hands that will never touch.  Two more legs that will never run.  One more mouth that will never speak.  Did you know that by day 30 you had a heart?  Did you know that by day 42 that that your brain ordered your heart to start beating if it hadn't given the order already?  I bet that you didn't know that if there is brain activity doctors consider a patient alive and has the right to continue living  Life starts at the moment of conception and abortion is therefore immoral, wrong and a waste of time
",-1,0,Abortion
50,"You said 'who many times were raped'  I say ONLY 1% OF ALL ABORTIONS IN THE UNITED STATES ARE BECAUSE THE PREGNANCY IS THE RESULT OF RAPE OR INCEST!!!!! I have posted this many times.  What would you say if a court ruling said that a child is not a human being until the age of 15? The murder rate of children would INCREASE. The abortion numbers INCREASED AFTER Roe v. Wade. The numbers would DECREASE SIGNIFICANTLY if abortion was illegal.
",-1,0,Abortion
51,"Would you want to be killed??????????????????????????????
",-1,0,Abortion
52,"OK YOU MAKE NO SENSE HOW CAN YOU BE REINCARNATED WHEN YOU WERE JUST ABOUT TO AND YOU GOT ABORTED????
",-1,0,Abortion
53,"OK, I have 4 TVs and 10079 points. You're going to get me an up vote for my birthday because I have too many TVs?! ;)
",-1,0,Abortion
54,"A fetus is not just a bunch of extra cells, you moron.......
",-1,0,Abortion
55,"Holly crap... that reminds me.... I have a birthday coming up.... I better get started on my wish list :)
",-1,0,Abortion
56,"A baby is a baby the moment the sperm meets the egg. Even though the heartbeat does not start until later, it's still a baby in my eyes.
",-1,0,Abortion
57,"And who decides whether it lives or dies? Who has the right to do this?  So when is that, exactly when it feels pain? Even if it does not feel pain, does not change the fact that what you are killing is a living human being.
",-1,0,Abortion
58,"What about adoption? If you don't want the child, give it up for adoption.
",-1,0,Abortion
59,"How about no?  How about no way?  How about not a chance?  How about ABSOFRICKINLUTELY NOT!!
",-1,0,Abortion
60,"Abortion is wrong!!!!Abortion is wrong!!!!Abortion is wrong!!!!Abortion is wrong!!!!   Thank GOD your mom was PROLIFE!!!!
",-1,0,Abortion
61,"WOW YOU NEED SOME HELP. WHY DON'T YOU LOOK UP SOME BIBLICAL THOUGHTS ON THAT AND THEN ARGUE OR DISPUTE OVER IT!
",-1,0,Abortion
62,"NO! it should be illegal, because is like a killing a HUMAN being. The baby does not have any fault.
",-1,0,Abortion
63,"You are right. That's the same thing i believe in too. thank you.
",-1,0,Abortion
64,"And so is yours. All is fair in love and war.   There is no need to be so sarcastic and rude for such a serious debate. So stop being a troll, pull your head out of your pants and think straight. ABORTION = MINIATURE GENOCIDE.
",-1,0,Abortion
65,"Well I'm glad we've already gotten to name calling. I'm glad we can all get along.
",-1,0,Abortion
66,"This is stupid.   The simple fact of all of this is let people decide what they want to do with teir bodies, I am so sick of republicans saying ""no more government"" then they have these ""rules"" which make more decisions for us. Total hypocrisy.   You have a right to choose is my stance on everything.
",1,1,Abortion
67,"Typical. You didn't come for a debate, you came for a fight. Debates are for people interested in listening to both sides and expecting to get out of it with a better understanding of the world. You came to ""correct"" people, not to understand other points of view.  The undebatable? There's no such thing. Every issue is debatable. It's true that some have stronger arguments on one side than the other, but this shouldn't bother the rational person you claim to be.
",1,1,Abortion
68,"Of course I agree that innocent human life should not be killed. But that is quite different from saying abortion isn't morally correct or that it should not be legal.
",1,1,Abortion
69,"The government has no right to decide what to do with someone's body.
",1,1,Abortion
70,"It is, but just for the record I don't think people should get abortions based on that possibility. I meant to point out the potential quality of a fetus's life is not really part of the argument.
",1,1,Abortion
71,"Many of you view abortion of taking a minature breathing baby out of the mom and breaking its neck or something, it is not like that. Many times an abortion occurs the fetus is just a clump of developing cells and, in fact, it is not a living thing at all.   Some say (when this defense is brought up), ""It is killing a future baby"". Well, actually, whenever a woman has her period she is killing a future baby.    Sorry if this defense crushes all the beliefs you were taught..
",1,1,Abortion
72,"Actually, how about you try and actually define murder instead. You clearly don't know what the word means if you think ""ending human life"" is what it is.
",1,1,Abortion
73,"When you say that term neither you are portraying to me that either you are confused or you are not sure which side to take.   I am pro-choice. I've been pro-choice since the beginning of this debate and I've made that clear several times. If you haven't realized this by now then it is you who is confused, not I.   How can you be neither when everything you said so far has supported pro abortion?   Exactly what did I write that gave you the idea I'm ""pro-abortion""? Do you think I want to make abortions mandatory or something? I'm not pro abortion or anti abortion, there are cases where abortion is a good choice, and cases where it is a bad choice; but regardless of the case, it's not our choice. It's hers.   If there were two teams and each of these teams were either pro life or pro abortion, which one would you choose?   If there were two teams, one was pro-rape and the other was pro-arson, which one would you choose? -_-   Obviously, there is no way that you can say neither, so which team will you choose?   Neither.   Huh... I guess I could say neither, couldn't I. ;)  It's almost as though I have... a choice. o.O   When people say pro choice they are referring to a woman's right to have an abortion. Do some research on the topic please.   When did I say pro-choice was NOT referring to a woman's right to have an abortion? What are you even talking about?   You words tells a lot about you and to be very honest with you that is why my response is coming so low graded to you because expect to get what you portray.   You're lying again. You've been acting like an idiot since the beginning AND you've been acting like an idiot towards others. Or are they all ""low graded"" as well? But even if what you say is true, you'd still be an idiot because that is the only kind of person that would purposefully debate poorly to ""match"" his opponents wit.   Well i do not care what you say because like i said am the creator of this debate and you are the person challenging me so to me it means less.   What means less? You haven't connected this sentence to anything so I have no idea what you're talking about.   You seem to forget that you are debunking without facts so if i am liar good for me.   I'm not using facts... so it's good that you're a liar? You make less and less sense every post.   You seem to think facts are some holy grail and whomever has the most of them ""wins"" or something. Let me tell you, in matters of philosophy logic trumps facts. you can string together miles of facts, if the logic doesn't follow then you're wrong.   Again i will not have you calling me names and if you do not stop then i will restrain you from posting any arguments in relation to my debates because name calling is childishness to me and the same goes for comparing.   I repress nothing about myself. If I feel like calling you an idiot then I will and if you aren't mature enough to handle such criticism then perhaps your better off banning me.  It would only show your insecurities.   I think your problem is you love to judge and if you continue doing that then again i will restrain you from debate and then we will see who is the debater and the respondent.   Once again, you're projecting. If ""judging"" is a ban-able offense in your books then you should of banned yourself a hundred times over.   Let us keep it to a professional level please.   I agree, lets keep it professional. I'll stop calling you names and you stop:  Straw-man-ing  Lying  Red-herring....ing  Appealing to authority  Appealing to emotion  And going off topic  I think this sound more than fair.   My conclusion is drawn from facts which i have demonstrated in my arguments but you point to one part where you made reference to facts?   Yeas, I have you an example where I used a fact. What, you want me to re-type EVERYTHING I've written out thus far and highlight everything that qualifies as a fact???  Look, I've debunked you're conclusions. Now you either concede or go about un-debunking me. THAT'S how a debate works. It's not about who has the most facts, it's about who's position makes the most sense.   Did you see my entire argument was based on fallacy? Because if you said so then i think you are jumping to an inconsistent conclusion.   Inconsistent with what? Do you even know what the word inconsistent means? (rhetorical)  Everything you've said so far has been one of the things I asked you to stop doing earlier in this post. They are all fallacies, so yes, your entire argument is based on fallacy. You've even admitted that your arguments are based on appeals to emotion/authority, so I'm not sure exactly what you're complaining about here...   And again i do not care what you call me because like i said i have already proved myself to a panel of judges.   Really? Just 2 (two!) paragraphs ago you threatened to ban me based on what I call you. You, once again, are lying.   You can say all you want but it wouldn't affect me but lets just keep it as a debate on a professional level.   You know my proposal. The balls in your court.
",1,1,Abortion
74,"The number of people who want to adopt a child, does not equate to the number of people who can.  There are thousands of children dying to be adopted. Abortion lowers that number.
",1,1,Abortion
75,"I'm asking you why it's wrong to destroy potential life.  You're saying it's wrong to destroy potential life because it will become life.  In other words, it's wrong to destroy potential life because it's potential life.  This is circular reasoning.  Embryos don't have a say in the matter because they are not yet humans. If I had been aborted as an embryo I would not have given one rat's ass, because I would have been incapable of doing so. No harm, no foul. The world keeps spinning. What's the big deal?
",1,1,Abortion
76,"You could argue that a human being is a composite of billions of animals working together...so what?   It is a commentary on your statement.   How does that prove that a foetus is no more special than a Plum?   Without an identity it is as generic.   A foetus is human...a Plum is not.   So? This isn't a comment of any use. It's accepted that a human is not a plum.
",1,1,Abortion
77,"Err on the side of life? ERR??? This is not guess work. The fact is we DO know that it's human, we DO know that it's definitely a POTENTIAL life (but not ACTUAL life). We DO know the answer to most of these questions. We just want a choice. Don't word it as if you've sanctioned abortions. You are simply giving people a choice. Put it another way, you haven't taken away their rights to choose.   Holocaust is killing Jews.   Choice to abort a fetus that cannot survive outside the womb until at least week 20 is the same as using a condom or abstaining, or masterbating into the toilet.
",1,1,Abortion
78,"how come when a person commits suicide the state has every right to stop that person from doing it?   cite 1 state or federal law.  do you mean assisted suicide? - because that would be a different matter.
",1,1,Abortion
79,"Sigh  yes, if you are referring to my potential life argument on the other side, it has everything to do with that specific argument. As for yours:   Killing the baby after a certain amount of weeks is painful to the baby   And you have proof of this I assume? Oh wait you don't? Of course not because it is not true.   If a man kills a pregnant women he is charged with two accounts of murder   This law in no way magically makes a fetus any more or less sentient. If I made a law that toasters were human, it would not make it so.   A born child effects a mother just as much as a baby. should all the mothers who think their children are to much of a burden be allowed to kill them   While listening to you now try to only refer to fetuses as babies, and so then needing to call a child a ""born child"" is hilarious, this sentence makes no sense. Everyone knows a ""born child"" should not be killed. That is not the issue, it is the cluster of cells within a woman that has no feelings and no personality which is the issue.   The issue doesn't seem to be whether it is a life form or not, but rather where it is and who it is effecting   Uh, what? Since when? No, the issue is that it is not a  person , and as such only an extension of the woman's body until about the third trimester, and so she should do with it what she chooses.  That pre-baby thing is  not  ""someone"" at all.  And there is nothing wrong with abortion.
",1,1,Abortion
80,"I couldn't help but notice what a load of bulls  t you're capable of dishing out.  Firstly you're way off the topic of the debate. It's whether abortion should be banned! Not whether human fetuses and embryos are sacrificial. If people want to get rid of their fetuses it's their choice (whether it's sacrificial or not).   I suggest you save some of that energy to debating the topic. So far, all i've heard in the hundreds of arguments against abortion is that ""it's a person, don't commit murder""... which has been rebutted many times. So bring something original to the debate, don't dress up the same cr*p in different packaging.
",1,1,Abortion
81,"Why I personally think abortion is a horrible sin. I do believe that we are here to make choices right or wrong those choices are going to be made. I do support that it is a choice. I just wish people would make the right one.
",1,1,Abortion
82,"One problem with that argument. If we judge rather someone should have the right to live or die, by their ability to reason or communicate. I by all rights could kill my 1 year old child. A person with Human DNA, is Human, killing them is murder.
",1,1,Abortion
83,"If someone got aborted, they wouldn't be around to like it or not. They would have been terminated before they developed a consciousness.   Also, the 'choice' is in pro-choice for a reason. It's fine to for a mother to chose to keep a baby, if she wants to.
",1,1,Abortion
84,"Please not that this debate has nothing to do with the legality of abortion. I believe that it is better off being legal, but moderated as well. If the mother wants an abortion bad enough she shall get the fetus out any way possible, but if it were illegal she would be going into dark alleys to get it done.
",1,1,Abortion
85,"She didnt need to get pregnant if she didn't want too either   Why don't you respond to my posts? I've said this before but woman do take measures to not get pregnant by using contraception. Contraception  fails . I got pregnant on the contraceptive pill which I took correctly, it happens (I didn't abort by the way, but it's just an example). Or do you consider contraception killing of a potential child too?   The fact is...if you have sex if you are a woman, YOU take the chance of getting pregnant. It is her responsiblity and she is the one taking the RISK. No one else is to blame..   Wow , you're one hell of a sexist! Why does a woman have to take sole responsibility of a pregnancy? How dare you say no one else to blame! The man is just as responsible for the action of sex and creating a life yet he wouldn't get your giant speech on the immorality or creating unwanted life. Not once in the whole discussion have you ever mentioned the males role in creating a baby just how terrible the woman is.   Louise Brown was conceived in a test tube. Other than the egg and the sperm...she did not use any organs of her mothers body   She was  conceived  in a test tube. She didn't spend 9 months on a petri dish growing. Her embryo was placed into a womb and relied on a woman's organs to live. Your statement is all wrong.   If she (the man is not an issue) kills it while its in the womb....it is not   The man is not the issue? Do you realize how many woman get abortions because the person who impregnated them pressured them into doing so? The men often  want  the woman they got pregnant to abort. He is just as responsible for creating the life as she is and if  wants  her to abort then he is just as responsible for the termination.
",1,1,Abortion
86,"So because I disagree with you on capitalism, you're going to stalk and harass me now?  That  is utterly pathetic.  Most children in the adoption system don't get adopted, there's just too many of them.   Hmm, wow that was quick. I guess there just wasn't any real substance to your post. ;)
",1,1,Abortion
87,"It is not an accident. It is the sole purpose of sex naturally.   You are attacking a straw man. I did not say that having a baby was an accident. I was saying that the failure of contraception was an accident. The failure of contraception might not lead to pregnancy, no matter how high the probability. If you were to argue this point, you would be going down a very slippery slope. Furthermore, an appeal to nature is hardly a cogent argument.   The sole purpose of sex is to produce offspring.   I think that you'll find yourself to be wrong there.   Protection and contraception help reduce this likelihood, but it is not 100% effective.   But that is not the fault of the people using the contraceptives.   I think we may be getting away from the point...   Nope. I don't think so. I won't let you back away from your own challenge so easily.   And none of which are usually fatal.   You are attacking another straw man argument. I've never claimed it to be fatal. It doesn't have to be fatal to be bad or wrong. The point is that if an organism lacks rationality, autonomy  and  self-consciousness, it is no more than a mechanical machine that can be terminated without such an act being considered morally wrong.   However, you go beyond cases were the baby will die anyway to all cases.   I admit that. But you haven't actually posed any significant challenge to me on those cases.   An immature brain is not a defective one.   Did I even make that point?   Hence my point that it all distills down to a meaningless argument.   Right. This is purely an assertion without justification.
",1,1,Abortion
88,"Having its own DNA and all the systems that isolate it from the mother's body does not change the fact that it's completely a part of the mother. It will not amount to anything if it's detached from her.  .   I did have it right when I said your view decides when a life is worthy of life and when a life is unworthy of life.   You can think what you like, but at 20 weeks' gestation a fetus is still a person. The fact that society may be able to save it without its mother does not automatically make it a person. It's still so very far from actually entering personhood.  .   And about this notion of ""potential life!"" by all the standard definitions of life, it's alive and has been throughout, potentiality is a farce   I don't know where you get your definition, but  until  it has a fully functional, self-sustaining biological system and is not attached to another life via the umbilical cord, I'm going to regard it as potential.  .   And finally were do you get this arbitrary standard of survival and person hood   It's not arbitrary, it's fact. Me and a lot of other people hold this view. We make the laws to help us with our lives. At the moment, we don't actually need to ban abortion cos doing that doesn't actually help, and your argument that abortion equals murder is complete crap.
",1,1,Abortion
89,"No, wit does not mean killing a child. It means killing a zygote that has no conscious thought. Arguments against abortion use scare tactics like killing cute babies in their mother's arms. This is not what abortion is. Abortion is an escape route for people who have no other choice but to not have a baby. You Kamranw forget the situation of the mother's death.   Also, yes a child that was born because of a traumatic indecent such as rape would be treated differently. Also, what about the mother's career or in some cases the mother's education. Should that be ruined because of the inability for this escape.
",1,1,Abortion
90,"Then why are you even debating a topic that you fail to research on?   I did research it.   Legal rulings has nothing to do with politics. If that was the case then why is political science different from law.   Law IS a form of politics. It's about appeasing many different voices on an issue by creating legislation that they can all agree on.   Laws are formed out of the decisions made by politicians i agree but at the same time amendments to the laws are also made by the supreme court as well. Whether you are dealing with science or business etc at some point you will have to abide by the instructions of the laws.   Which at some point are influenced by those with a voice in the matter.
",1,1,Abortion
91,"I'm attacking your illogical mind and your silly arguments! If that's a personal attack, then I guess that's what it is!  Ok so you're not calling for abortion to be outlawed, why then are you arguing for their side? You should argue for our side or at the very least choose the ""it depends"" option! I know you want to educate (as do I), so educate, and if that works out well in the future you won't find it necessary to ban abortion!  I'm not defending anybody with my outrageous suggestions. It's a solution to a problem, which is unwanted pregnancies. It has more educational value then a ban on abortion. Hit people where the pocket is and help them avoid a mistake in the future, don't make them pay for their mistake by forcing them to bring up a child. Forcing someone to keep a pet against their will can have dire consequences for the animal concerned, you get my point?  The only reality check here is that a ban on abortion simply doesn't work. It doesn't work to educate, it simply makes it ... what did you call it? ah yes... ""the next underground drug"".
",1,1,Abortion
92,"Call me insane, but I think the notion of punishing women for having sex is not a good idea.
",1,1,Abortion
93,"no i wouldn't consider it a baby. i dont consider it a baby until it is living and breathing on its own.
",1,1,Abortion
94,"It is interesting that you bring that up. So if the fetus does not recognize that it is being killed then should we kill the mentally retarded too or the people that are paralyzed because they cannot recognize the fact that they are being killed or because their organs are not working?   Mentally retarded people are self aware. Paralysed people are self aware. A person in coma on life support with no change of recovery is not self aware. We should be able to terminate them. They are at this point shells.   If all the cells in our body had died then wouldn't the human body die too? Isn't a cell the formation of tissues then organs then to the body systems?   The key note is ""all"" or ""most"" or even ""vital"" cells. We lose cells every day, without suffering harm.   It is funny that you say different topic when both are related to the point that it is questioned whether a woman has a right to control her own body or not. Why would it not be my business? If it wasn't any of our business then why do they make those record public. You want to know why? Because the public has a right to access those information.    Abortion != prostitution. If you have an important point to make, then make it.  How many abortions a person obtains is irrelevant to whether it should be legal. It is not pertinent and it is a personal affair.   I have a feeling that you wouldn't be able to tell me and i also think you wouldn't be able to tell me about the number of deaths in abortion cases.   Not important to the topic. We don't ban vaccinations because of the rare but dangerous side effects. We don't ban surgery despite the very likely possibility of malpractice.  Whatever point you are trying to make is a cover for the fact that late term abortions lead to severe complications when performed by pregnant women at home. An operating room is much safer.   Again you are retreating from my questions and giving opinions rather than facts. I am puzzled by your response on the government. I need a fact and again not opinion.   I am out-maneuvering you. You only think one step at a time, but I'm several steps ahead of you. Learn to concede when you are off topic and we'll get along fine.   Well my goal is to become a criminal state lawyer so for your information we fight for the truth and we do not make opinions without facts because any court of law would take that into account against us.   How young are you? A teenager? You sure are wide-eyed if you think law and the justice system are about truth.  Juries are made up of peers, average blokes. Many are easily distracted by irrelevancies, just like you were when you brought up prostitution and abortion death rates.   And again persuasion comes from a strong argument backed up by facts not opinions or refusing to say you don't care or refuse to answer to an argument because if you were in a debate the judges would already sanctioned and scolded you for that.   What makes a strong argument? To most people it is an argument that is easiest to comprehend, and it should appeal to their prejudices.  You want to win points with me? Argue in a way that is clear, has few red herrings, and is rational rather than an appeal to feelings.
",1,1,Abortion
95,"If you were aborted, you wouldn't be here right now. But that means nothing! It may hurt your feelings to know that you're only a small speck of dust in the universe (as am I), but life in general goes on without us my friend. You could greatly contribute to society but then again you could also turn out to be extremely evil...
",1,1,Abortion
96,"Even if a zygote or early term fetus was a person (which it isn't)...  And even if that person had all the rights that other people have (which it doesn't)....     I    sure as hell don't have the right to commandeer someone else's body against their will for nine months to keep myself alive and neither does a fetus. The only way to argue that a woman doesn't have the right to terminate a pregnancy she doesn't want is to declare her body to be a piece of property that she doesn't have the right to final say over the use of. And it's just that simple.
",1,1,Abortion
97,"A fetus is NOT a human, just a mass﻿ of tissue  No, we have a mind  Abortion is safer than childbirth  HA! In the same way that murder is safer than living.  No, it's less dangerous to abort than give birth, wth^^  The number of murders are relatively small. Should we no legalize murder, rape, and theft?  Fair enough  Then why do we have laws against murder? child rape? torture? assault? grand larceny? etc.?  Those are not morals, morals are more of opinions, these are really not opinions   To say that a fetus is merely an extension of its parent needs some substantiation.  A fetus is like a parasite, should a mother have no choice?  Should this have a bearing on its endorsement as legal by the state?  Yes, it could cause a lot of crime, which the state doesn't want, and it would be more dangerous  HA! In the same way that mass genocide prevents accidental deaths.  I suppose...
",1,1,Abortion
98,"Criminal? LOL, I was invited to intern with the prosecutor's office.   And FYI, falsely alleging in print that someone is a criminal is called ""libel"" -- or if you want to be technical, ""the  tort  of civil libel,"" meaning that I now have a cause of action to sue you if I like. (Ain't screenshots grand?) Congrats --  you  just crossed the line between what is merely rude and childish, and what is actually forbidden by law!  Please, by all means, go on making an ass of yourself. It's funny and it totally discredits your position so in effect I win twice . . .  :D  lolololololol
",1,1,Abortion
99,"Take this hypothetical.   A woman, her child and a doctor are out hiking in no mans land and they have an accident (a fall lets say). The child is injured. He needs a blood transfusion and the mother and child are the same type (the doctor is not).   The doctor explains the risks to the mother - the child needs a lot of blood and he has no way to measure how much is being taken... there is a risk she will loose too much blood and die.  She agrees  He hooks her up, so she is supporting the childs life. After 10 minutes she is starting to feel lightheaded, and gets scared. She decides she doesn't want to do this anymore - she has 2 other children at home that need her.  Does she have the right to unhook herself? The child will surely die. Of course she does, it's legal, and nobody has ever tried to make it illegal. Even after agreeing, and being hooked up, she can change her mind.   So if a women gets pregnant, and the fetus is hooked up to her, why does she have to stay hooked up? At some point between her and the fetus the umbilical is part of her body. Does she not have the right to disconnect it if she feels she is not up to going through with it?  Why would a women be legally required to keep her fetus alive by allowing it access to her body, but has no legal requirement that she keep her child alive after it is born (even if there is 0 risk to her life)? A women has a right to not have her body used by someone else.
",1,1,Abortion
